"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item1","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Isolates patient in critical care isolation area",NA,"not done",0
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item1","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Isolates patient in critical care isolation area",NA,"done but inadequate or not timely",0.5
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item1","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Isolates patient in critical care isolation area",NA,"done adequately and timely",1
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item2","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Ensures team and self don personal protective equipment",NA,"not done",0
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item2","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Ensures team and self don personal protective equipment",NA,"done but inadequate or not timely",0.5
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item2","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Ensures team and self don personal protective equipment",NA,"done adequately and timely",1
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item3","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Assesses airway and recognises it is patent",NA,"not done",0
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item3","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Assesses airway and recognises it is patent",NA,"done but inadequate or not timely",0.5
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item3","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Assesses airway and recognises it is patent",NA,"done adequately and timely",1
"jian-wen-low-sepsis-and-trauma-resuscitation-2024","scenario1","scenario1_item4","Simulated Resuscitation Checklist (sepsis and trauma assessment scenarios; Low et al. 2024)",NA,"Case 1: Severe Community Acquired Pneumonia – Simulated Resuscitation Checklist","Assesses breathing and recognises respiratory distress with severe tachypnoea",NA,"not done",0
