"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_1","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to bounce back quickly after hard times.",NA,"Strongly Disagree",1
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_1","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to bounce back quickly after hard times.",NA,"Disagree",2
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_1","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to bounce back quickly after hard times.",NA,"Neutral",3
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_1","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to bounce back quickly after hard times.",NA,"Agree",4
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_1","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to bounce back quickly after hard times.",NA,"Strongly Agree",5
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_2","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I have a hard time making it through stressful events.",NA,"Strongly Disagree",1
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_2","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I have a hard time making it through stressful events.",NA,"Disagree",2
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_2","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I have a hard time making it through stressful events.",NA,"Neutral",3
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_2","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I have a hard time making it through stressful events.",NA,"Agree",4
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_2","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I have a hard time making it through stressful events.",NA,"Strongly Agree",5
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_3","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It does not take me long to recover from a stressful event.",NA,"Strongly Disagree",1
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_3","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It does not take me long to recover from a stressful event.",NA,"Disagree",2
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_3","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It does not take me long to recover from a stressful event.",NA,"Neutral",3
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_3","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It does not take me long to recover from a stressful event.",NA,"Agree",4
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_3","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It does not take me long to recover from a stressful event.",NA,"Strongly Agree",5
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_4","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It is hard for me to snap back when something bad happens.",NA,"Strongly Disagree",1
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_4","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It is hard for me to snap back when something bad happens.",NA,"Disagree",2
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_4","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It is hard for me to snap back when something bad happens.",NA,"Neutral",3
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_4","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It is hard for me to snap back when something bad happens.",NA,"Agree",4
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_4","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"It is hard for me to snap back when something bad happens.",NA,"Strongly Agree",5
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_5","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I usually come through difficult times with little trouble.",NA,"Strongly Disagree",1
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_5","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I usually come through difficult times with little trouble.",NA,"Disagree",2
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_5","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I usually come through difficult times with little trouble.",NA,"Neutral",3
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_5","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I usually come through difficult times with little trouble.",NA,"Agree",4
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_5","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I usually come through difficult times with little trouble.",NA,"Strongly Agree",5
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_6","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to take a long time to get over set-backs in my life.",NA,"Strongly Disagree",1
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_6","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to take a long time to get over set-backs in my life.",NA,"Disagree",2
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_6","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to take a long time to get over set-backs in my life.",NA,"Neutral",3
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_6","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to take a long time to get over set-backs in my life.",NA,"Agree",4
"jordan_2020_resilience","jordan_2020_resilience_1","Q14_6","Brief Resilience Scale (BRS)","Please answer the following questions.",NA,"I tend to take a long time to get over set-backs in my life.",NA,"Strongly Agree",5
