"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"schmidt_2017_fas","schmidt_2017_fas_1","ses_1_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"hast du ein eigenes Zimmer für dich ganz allein?","do you have your own room all to yourself?",NA,"Nein","No",0
"schmidt_2017_fas","schmidt_2017_fas_1","ses_1_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"hast du ein eigenes Zimmer für dich ganz allein?","do you have your own room all to yourself?",NA,"Ja","Yes",1
"schmidt_2017_fas","schmidt_2017_fas_1","ses_2_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Besitzt deine Familie ein Fahrzeug?","Does your family own a vehicle?",NA,"Nein","No",0
"schmidt_2017_fas","schmidt_2017_fas_1","ses_2_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Besitzt deine Familie ein Fahrzeug?","Does your family own a vehicle?",NA,"Eines","One",1
"schmidt_2017_fas","schmidt_2017_fas_1","ses_2_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Besitzt deine Familie ein Fahrzeug?","Does your family own a vehicle?",NA,"Zwei und mehr als zwei","Two and more than two",2
"schmidt_2017_fas","schmidt_2017_fas_1","ses_3_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie häufig bist du in den letzten 12 Monaten mit deiner Familie in die Ferien gefahren","How often have you gone on holiday with your family in the last 12 months",NA,"Nein","No",0
"schmidt_2017_fas","schmidt_2017_fas_1","ses_3_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie häufig bist du in den letzten 12 Monaten mit deiner Familie in die Ferien gefahren","How often have you gone on holiday with your family in the last 12 months",NA,"Einmal","Once",1
"schmidt_2017_fas","schmidt_2017_fas_1","ses_3_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie häufig bist du in den letzten 12 Monaten mit deiner Familie in die Ferien gefahren","How often have you gone on holiday with your family in the last 12 months",NA,"Zweimal","Twice",2
"schmidt_2017_fas","schmidt_2017_fas_1","ses_3_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie häufig bist du in den letzten 12 Monaten mit deiner Familie in die Ferien gefahren","How often have you gone on holiday with your family in the last 12 months",NA,"mehr als zweimal","more than twice",3
"schmidt_2017_fas","schmidt_2017_fas_1","ses_4_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie viele Computer besitzt deine Familie?","How many computers does your family own?",NA,"keinen","none",0
"schmidt_2017_fas","schmidt_2017_fas_1","ses_4_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie viele Computer besitzt deine Familie?","How many computers does your family own?",NA,"einen","one",1
"schmidt_2017_fas","schmidt_2017_fas_1","ses_4_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie viele Computer besitzt deine Familie?","How many computers does your family own?",NA,"zwei","two",2
"schmidt_2017_fas","schmidt_2017_fas_1","ses_4_1","Family Affluence Scale II (FAS II)","German",NA,NA,NA,NA,"Wie viele Computer besitzt deine Familie?","How many computers does your family own?",NA,"mehr als zwei","more than two",3
