"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","confidence","Feedback perceptions questionnaire",NA,NA,"How confident are you in your ability to procure feedback in your residency training?",NA,"sometimes",3
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","confidence","Feedback perceptions questionnaire",NA,NA,"How confident are you in your ability to procure feedback in your residency training?",NA,"often",4
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","confidence","Feedback perceptions questionnaire",NA,NA,"How confident are you in your ability to procure feedback in your residency training?",NA,"almost always",5
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","interest","Feedback perceptions questionnaire",NA,NA,"How interested are you in receiving feedback throughout your residency training?",NA,"sometimes",3
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","interest","Feedback perceptions questionnaire",NA,NA,"How interested are you in receiving feedback throughout your residency training?",NA,"often",4
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","interest","Feedback perceptions questionnaire",NA,NA,"How interested are you in receiving feedback throughout your residency training?",NA,"almost always",5
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","effort","Feedback perceptions questionnaire",NA,NA,"How much effort will you put into procuring feedback during residency training?",NA,"sometimes",3
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","effort","Feedback perceptions questionnaire",NA,NA,"How much effort will you put into procuring feedback during residency training?",NA,"often",4
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","effort","Feedback perceptions questionnaire",NA,NA,"How much effort will you put into procuring feedback during residency training?",NA,"almost always",5
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","importance","Feedback perceptions questionnaire",NA,NA,"How important is feedback to your residency training?",NA,"sometimes",3
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","importance","Feedback perceptions questionnaire",NA,NA,"How important is feedback to your residency training?",NA,"often",4
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","importance","Feedback perceptions questionnaire",NA,NA,"How important is feedback to your residency training?",NA,"almost always",5
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","frequency","Feedback perceptions questionnaire",NA,NA,"How often will you seek feedback from a faculty member in your residency training?",NA,"sometimes",3
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","frequency","Feedback perceptions questionnaire",NA,NA,"How often will you seek feedback from a faculty member in your residency training?",NA,"often",4
"cox_2024_feedback_perceptions","cox_2024_feedback_perceptions_1","frequency","Feedback perceptions questionnaire",NA,NA,"How often will you seek feedback from a faculty member in your residency training?",NA,"almost always",5
