"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N1","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I get stressed out easily.",NA,"Disagree",1
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N1","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I get stressed out easily.",NA,NA,2
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N1","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I get stressed out easily.",NA,"Neutral",3
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N1","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I get stressed out easily.",NA,NA,4
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N1","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I get stressed out easily.",NA,"Agree",5
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N2","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I am relaxed most of the time.",NA,"Disagree",1
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N2","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I am relaxed most of the time.",NA,NA,2
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N2","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I am relaxed most of the time.",NA,"Neutral",3
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N2","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I am relaxed most of the time.",NA,NA,4
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N2","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I am relaxed most of the time.",NA,"Agree",5
"bfi_goldberg_1992_neuroticism","bfi_goldberg_1992_neuroticism_1","N3","IPIP Big-Five Factor Markers (50-item set; Goldberg, 1992), Factor IV: Emotional Stability, coded N1-N10 as Neuroticism in the source codebook","The test consists of fifty items that you must rate on how true they are about you on a five point scale where 1=Disagree, 3=Neutral and 5=Agree.",NA,"I worry about things.",NA,"Disagree",1
