"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"절대 그렇지 않다",1,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Absolutely not so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"그렇지않다",2,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Not so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"거의 그렇지 않다",3,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Almost not so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"그렇기도 하고 안그렇기 도 하다",4,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Both so and not so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"가끔 그런 편이다",5,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Sometimes tend to be so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"그런 편이다",6,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Tend to be so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_1","Crav1","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"음란물을 보는 생각만으로도 성적으로 흥분된다,",NA,"매우 그렇다",7,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"The thought of watching porn makes me sexually aroused.","Very much so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_2","Crav2","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"지금 음란물을 본다면 덜 심심할 거 같다.",NA,"절대 그렇지 않다",1,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"I would feel less bored if I watched porn right now.","Absolutely not so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_2","Crav2","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"지금 음란물을 본다면 덜 심심할 거 같다.",NA,"그렇지않다",2,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"I would feel less bored if I watched porn right now.","Not so"
"K-PCQ_Huh_2022","K-PCQ_Huh_2022_2","Crav2","Korean version of the Pornography Craving Questionnaire (K-PCQ)","Korean","지시사항: 각 문항에 대해서 얼마나 그렇게 생각하는지 또는 그렇지 않은지를 표시해 주세요. 문항을 읽는 바로 지금 생각을 표시해 주세요.",NA,"지금 음란물을 본다면 덜 심심할 거 같다.",NA,"거의 그렇지 않다",3,"Instructions: For each item, please indicate how much you think so or do not think so. Indicate what you think right at the moment you read the item.",NA,"I would feel less bored if I watched porn right now.","Almost not so"
