"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,-5
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,-4
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,-3
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,-2
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,-1
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,0
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,1
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,2
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,3
"mgkt","mgkt_1","Q1","Multifactor General Knowledge Test (Form A v0.8)","This test has 32 questions. Each question in this test will be something like ""Which of these are animals?"" with 10 possible answers, 5 of which will be correct. In each question you should check as many of the right answers as possible without checking any of the wrong answers. You will receive 1 point for each right answer and -1.25 points for each wrong answer, so you can receive a maximum of 5 points per question. It is not likely that you will know all 5 answers to each question, just answer as many as you can. There is no time limit, most people will take between 7 and 15 minutes to complete the test.",NA,"Who of these were famous poets?","Emily Dickinson;Robert Frost;Sylvia Plath;Maya Angelou;Langston Hughes",NA,4
