"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Strongly disagree",1
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Moderately disagree",2
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Slightly disagree",3
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Neither agree nor disagree",4
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Slightly agree",5
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Moderately agree",6
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_01_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"Conspiracy theories accurately depict real life events.",NA,"Strongly agree",7
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_02_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"The information contained within conspiracy theories is generally true.",NA,"Strongly disagree",1
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_02_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"The information contained within conspiracy theories is generally true.",NA,"Moderately disagree",2
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_02_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"The information contained within conspiracy theories is generally true.",NA,"Slightly disagree",3
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_02_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"The information contained within conspiracy theories is generally true.",NA,"Neither agree nor disagree",4
"gmc_kay_2025","gmc_kay_2025_1","gmc_xxx_02_x","General Measure of Conspiracism (GMC)","Please indicate your level of agreement with each of the statements below.",NA,"The information contained within conspiracy theories is generally true.",NA,"Slightly agree",5
