"table","batch","mapping_basis","uploaded","route","status","evidence"
"bakker_2020_rses","batch_008","data_labels","","route 6 (keying polarity) + route 8 (semantic coherence of item means), used to adjudicate variable-label vs column-name (issue #1654)","VERIFIED","Name-vs-label conflict resolved in favour of the labels, decisively. (1) Coherence: the 10 labels, read in column order, reproduce the RSES in the standard circulated administration order (canonical Rosenberg-1965 items 7,3,9,4,5,10,1,8,6,2), i.e. a known permutation, not a scramble; the column names follow the Rosenberg-1965 order 1..10. Names and labels agree only on dowell304, noproud305, morerespect308. (2) Keying polarity on the raw, unreversed data (N=374 complete cases): the correlation matrix splits into a positive block {301,302,304,306,307,308} and a negative block {303,305,309,310} (e.g. r(302,304)=+0.39, r(302,307)=+0.39, r(303,309)=+0.26, r(309,310)=+0.30, r(302,310)=-0.19, r(303,304)=-0.28). The two hypotheses differ on exactly four columns, and the data agree with the LABEL hypothesis on all four: 302 positive (label 'number of good qualities'; the name nogood302 would predict negative), 303 negative (label 'I am a failure'; name goodqualities303 would predict positive), 306 positive (label 'positive attitude'; name usefull306 would predict negative), 310 negative (label 'no good at all'; name positiveattitude310 would predict positive). (3) Means corroborate: 303=1.47 and 309=1.55 (near-floor, correct for 'failure'/'useless') while 302=3.28 and 306=3.19 (near-ceiling, correct for 'good qualities'/'positive attitude') -- the reverse of what the column names imply. morerespect308 sits with the positive block (r=+0.20..+0.33) despite negative wording, the well-documented behaviour of that RSES item in this very sample (the paper drops it, alpha .61 -> .72, citing Schmitt & Allik's Ethiopian alpha of .33); both hypotheses assign it the same text, so it is not diagnostic either way. (4) Anchor direction cross-checked against the sibling PSS-10 in the same .sav (0 Never..4 Very Often, unambiguous): under the .sav's RSES value labels (1 Strongly Disagree..4 Strongly Agree, as used by the processing script) the positive-worded RSES block correlates -0.28 with the distress-worded PSS items and +0.39 with the coping-worded ones, and the negative block flips both signs (+0.40 / -0.24) -- the expected pattern. The paper's Methods sentence '1 (strongly agree) to 4 (strongly disagree)' is therefore wrong for the archived data and was not followed."
"bakumenko_2023_adyghe_values","batch_008","data_labels","","positional header diff (core model 3) + questionnaire item numbering","VERIFIED","data/bakumenko_2023_adyghe_values.py assigns item_1..item_7 positionally from all_cols[7:14] (after id is inserted at position 0). Re-read the source workbook: positions 6..12 of the raw file are exactly the seven 'Оцените важность...' headers, in the order ethics/native language/Nart epics/rituals and dances/national dress/national cuisine/national sports -- identical to the script's ITEM_TEXT dict and to rows 1-7 of Таблица 2 in the study's own questionnaire PDF. Per-item response distributions from the raw .xlsx match the live table cell for cell (item_1 3/4/5 = 2/13/136; item_3 2/3/4/5 = 1/2/17/131; item_7 2/3/4/5 = 8/16/46/81), confirming both the column selection and that no shift occurred."
"bang_2023_self_esteem","batch_008","reconstructed","","route 6 (keying polarity) + route 7 (marker item)","PARTIAL","Neither the .xlsx (headers S1..S10, 'Data dictionary' sheet scale-level only) nor the paper ties any code to an item, so the order was reconstructed and tested. Raw, unreversed responses (N=37) split cleanly by sign into a positive block {S1,S2,S4,S6,S7} and a negative block {S3,S5,S9,S10} (e.g. r(S1,S4)=+0.73, r(S6,S7)=+0.66, r(S3,S5)=+0.54, r(S9,S10)=+0.58, r(S1,S9)=-0.69, r(S5,S6)=-0.64). That polarity pattern is incompatible with the Rosenberg-1965 numbering (which would predict positives at 1,3,4,7,10) and matches exactly the standard administered RSES order used by the Korean version (canonical items 7,3,9,4,5,10,1,8,6,2 -> positives at positions 1,2,4,6,7), which is the order shipped. S8 is the marker: near-zero correlations with the positive block (-0.19..+0.17) but +0.50 with S10, the known misbehaviour of 'I wish I could have more respect for myself', which sits at position 8 in that order -- and the same item behaves the same way in bakker_2020_rses. Item means corroborate (S9 'I certainly feel useless at times' is the lowest at 1.65 with 20/37 at floor; S8 the highest at 2.70). Verifies polarity class and the position of S8, not the order within each polarity class, so adjacent same-polarity swaps (e.g. S1 vs S2) are not independently excluded beyond the published order."
"beck_2021_iesr","batch_008","paper_explicit","","5 (subscale block structure) + 8 (semantic coherence) + version identification by response-level count","VERIFIED","mapping_structure.R with the canonical IES-R subscales (intrusion 1,3,6,9,14,16,20; avoidance 5,7,8,11,12,13,17,22; hyperarousal 2,4,10,15,18,19,21): 19/22 items load strongest on their own subscale; the 3 exceptions are near-ties (iesr_20 0.27 own vs 0.27 rival, iesr_5 0.36 vs 0.38, iesr_7 0.27 vs 0.28). Live data has exactly 4 resp levels, matching the German IES-R's 4 anchors vs the English version's 5. Endorsement ordering is coherent: iesr_20 'Ich traeumte davon' is the least endorsed item (221/258 at level 1) alongside iesr_19 (somatic reactions, 220), while iesr_21 (hypervigilance) and iesr_1 are the most endorsed."
"beck_2021_pss10","batch_008","paper_explicit","","5 (subscale block structure) + 6 (keying polarity)","VERIFIED","mapping_structure.R with the canonical PSS-10 split (helplessness 1,2,3,6,9,10; self-efficacy 4,5,7,8): 10/10 items load strongest on their own subscale. Source columns independently label the same split (PSS_PH_* vs PSS_PSE_*). Polarity check: means of the positively-worded items 4,5,7,8 are 4.31/4.07/3.67/3.85 (patients) against 1.74-2.66 for the six helplessness items, i.e. stored unreversed on the shared 1-5 coding."
"benitezsillero_2021_bullying","batch_008","paper_explicit","","2 (subscale composites) + 5 (block structure)","VERIFIED","Source XLSX composite columns reproduce exactly: mvicbull = mean(EBIPQ_1..7) and agrebull = mean(EBIPQ_8..14), max abs diff 4.4e-15, confirming the 7-item victimisation / 7-item aggression blocks match Table 1's numbering. Within-block order corroborated by the parallel victim-aggressor pairing: for 5 of 7 victimisation items the highest-correlating aggression item is its paired counterpart (1-8 r=.42, 2-9 r=.43, 4-11 r=.38, 5-12 r=.38; items 3, 6, 7 lose narrowly to the high-base-rate item 9)."
"bitew_2020_osss3","batch_008","data_labels","","2 (per-item response ranges) + subscale total","VERIFIED","OSSS1 uses only 1-4 (87/224/141/212, zero 5s) while OSSS2 and OSSS3 use 1-5 - the canonical OSSS-3 signature where only item 1 has 4 categories. OSSST equals OSSS1+OSSS2+OSSS3 for 100% of non-missing rows, confirming the three columns are the OSSS-3 sum-scored triple. Item 3 additionally pinned by its own variable label 'can get help from neighbours'."
"bitew_2020_lte","batch_008","data_labels","","9 (response-frequency / total-score matching)","VERIFIED","Option-resp axis: LTET equals the count of 1s across LTE1..LTE12 for 702/703 non-missing cases (mean abs diff 0.0028), confirming resp=1 is the endorsed ('yes') category and resp=0 'no'. Item axis needs no statistical route - the codes are the .sav column names and each carries its own numbered variable label."
"bitew_2020_phq9","batch_008","data_labels","","paper per-item means (route 1) + marker item (route 7)","VERIFIED","Paper: 'Loss of interest ... most frequent (mean 1.61), followed by getting weak (1.22) and hopelessness (1.21)'. Live item_stats: PHQ1 mean 1.61, PHQ4 1.22, PHQ2 1.21 - matching the .sav labels '1 reduced motivation', '4 getting weak', '2 hoplessness'. PHQ9 (suicidal ideation) is the least endorsed item, mean 0.52 with 73.6% at zero, as expected for a community sample."
"bitew_2020_self_efficacy","batch_008","data_labels","","source variable labels + response-frequency match (route 9)","VERIFIED","Variable labels pin content per code; the +1 offset to GSE numbering is fixed by three near-exact label matches (SEFFICA5 'can solve most issues'=GSE6 'solve most problems', SEFFICA6 'get silent'=GSE7 'remain calm', SEFFICA7 'find options'=GSE8 'find several solutions') and by the paper's statement that a 10-item GSE was used with SEFFICAY as the tenth column. Option axis: raw .sav counts equal live resp counts cell for cell, e.g. SEFFICA1 72/218/216/175 (values 1-4) vs live 72/218/216/175 (resp 0-3); SEFFICA6 170/200/174/138; SEFFICA9 132/237/185/134."
