"table","section_id","item","instrument","language","instructions","section_prompt","item_text","item_text_translated","correct_response","option_text","resp"
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas1","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de me concentrer lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to concentrate.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas1","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de me concentrer lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to concentrate.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas1","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de me concentrer lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to concentrate.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas1","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de me concentrer lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to concentrate.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas1","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de me concentrer lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to concentrate.",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas2","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de m’endormir lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to sleep.",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas2","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de m’endormir lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to sleep.",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas2","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de m’endormir lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to sleep.",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas2","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de m’endormir lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to sleep.",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas2","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Il m’est difficile de m’endormir lorsque je pense au changement climatique.","Thinking about climate change makes it difficult for me to sleep.",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas3","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je fais des cauchemars à propos du changement climatique.","I have nightmares about climate change",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas3","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je fais des cauchemars à propos du changement climatique.","I have nightmares about climate change",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas3","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je fais des cauchemars à propos du changement climatique.","I have nightmares about climate change",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas3","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je fais des cauchemars à propos du changement climatique.","I have nightmares about climate change",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas3","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je fais des cauchemars à propos du changement climatique.","I have nightmares about climate change",NA,NA,4
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas4","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me retrouve à pleurer à cause du changement climatique.","I find myself crying because of climate change",NA,NA,0
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas4","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me retrouve à pleurer à cause du changement climatique.","I find myself crying because of climate change",NA,NA,1
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas4","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me retrouve à pleurer à cause du changement climatique.","I find myself crying because of climate change",NA,NA,2
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas4","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me retrouve à pleurer à cause du changement climatique.","I find myself crying because of climate change",NA,NA,3
"hannachi_2025_eco_anxiety_cas","hannachi_2025_eco_anxiety_cas_1","cas4","Climate Change Anxiety Scale (CAS) — French version, first 13 items (cognitive-emotional and functional impairment)","French",NA,NA,"Je me retrouve à pleurer à cause du changement climatique.","I find myself crying because of climate change",NA,NA,4
