"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"song_2025_pj","song_2025_pj_1","PJ1","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"I believe my manager really tries to conduct a fair and objective appraisal.",NA,NA,1,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ1","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"I believe my manager really tries to conduct a fair and objective appraisal.",NA,NA,2,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ1","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"I believe my manager really tries to conduct a fair and objective appraisal.",NA,NA,3,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ1","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"I believe my manager really tries to conduct a fair and objective appraisal.",NA,NA,4,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ1","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"I believe my manager really tries to conduct a fair and objective appraisal.",NA,NA,5,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ2","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Is procedural justice free of bias in your department?",NA,NA,1,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ2","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Is procedural justice free of bias in your department?",NA,NA,2,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ2","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Is procedural justice free of bias in your department?",NA,NA,3,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ2","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Is procedural justice free of bias in your department?",NA,NA,4,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ2","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Is procedural justice free of bias in your department?",NA,NA,5,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ3","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Are your department’s procedures consistent with ethical standards?",NA,NA,1,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ3","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Are your department’s procedures consistent with ethical standards?",NA,NA,2,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ3","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Are your department’s procedures consistent with ethical standards?",NA,NA,3,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ3","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Are your department’s procedures consistent with ethical standards?",NA,NA,4,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ3","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,"Are your department’s procedures consistent with ethical standards?",NA,NA,5,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ4","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ4","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ4","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ4","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"song_2025_pj","song_2025_pj_1","PJ4","Procedural justice scale (modified from Erdogan, Kraimer & Liden 2001; Ehrhart 2004)","Chinese",NA,NA,NA,NA,NA,5,NA,NA,NA,NA
