"table","note"
"busch_2023_stigma","TABLE-NAME MISMATCH (Step 3b): the table is named 'stigma' but its 8 live items are the participants' own concealable-stigmatized-identity self-reports (LGBQ+, depression, anxiety, low SES, first-gen, academic struggle, disability, community-college transfer), NOT the paper's 4-point perceived-stigma ratings, which are not in the IRW table at all. Extracted against what the data actually is; dictionary Description should say identity self-report."
"busch_2023_stigma","Six of the eight items share the identical stem 'I most closely identify as'; the item content lives entirely in the response options. Binary 0 collapses multiple source options for lowses (mid + upper income) and transfer2 (other-4-year transfer, no transfer, and 'none of the above'); those option_text values join the source options verbatim with '; '. 'Decline to state' and missing are absent from the IRW table (dropped as NaN by data/busch_2023_stigma.py)."
"busch_2023_stigma","lgbq is the only item with no paired raw-text column in the source CSV; its wording is the S1 Appendix question 'Do you identify as a member of the LGBTQ+ community?', but the paper analyses it as an LGBQ+ (sexuality/romantic-attraction) indicator built with the follow-up identity question, so 1/0 = Yes/No is the survey wording rather than a fully documented derivation."
"butt_2022_cognitive_absorption","CA1, CA2, CA4, CA6 are the only CA columns in the S1 File .sav; CA3 and CA5 were dropped by the authors. The four CA columns carry SPSS value labels but NO variable labels, so item wording came from the S1 Appendix questionnaire, which lists the six Cognitive Absorption items in order without codes."
"butt_2022_actual_usage","AU1/AU2 carry full SPSS variable labels and value labels; wording matches the S1 Appendix questionnaire verbatim. A leading space was stripped from the AU2 variable label."
"butt_2022_actual_usage","AU is a 2-item scale with per-item, non-Likert response anchors (frequency for AU1, hours per week for AU2); instructions left blank because the questionnaire's 1-7 agreement-scale instruction does not apply to this block."
"butt_2022_institutional_factors","11 of the 13 appendix Institutional Factors items are in the live data; IF3 ('Help is available from university when I have a problem') and IF11 ('The instructor provided clear instructions for assignments and quizzes.') are absent from the study's own .sav and were not shipped. The .sav gives NO variable labels for the IF columns, so text came from S1 Appendix (Appendix A questionnaire) by position within the Institutional Factors block; IF12's source reads ""students 'questions"" with a misplaced opening quote, shipped as ""students' questions"". All 11 items use all 7 resp levels."
"butt_2022_task_tech_fit","Verbatim .sav variable labels; identical to S1 Appendix wording. All 3 items use all 7 resp levels."
"butt_2022_user_satisfaction","Verbatim .sav variable labels; identical to S1 Appendix wording. All 3 items use all 7 resp levels."
"buzgova_2023_rses","Source .sav (PLOS 10.1371/journal.pone.0283772 S1 File) carries NO variable labels and NO value labels for any of its 100+ columns, and the paper reproduces no items -- so item text is the canonical English RSES (Rosenberg 1965) and the code->text tie rests on the RSES1..RSES10 numbering matching Rosenberg's published item order. Given the bakker_2020_rses precedent (column names numbered in canonical order while the administered form was permuted), this assumption could NOT be independently confirmed here: the live data are stored ALREADY REVERSE-SCORED (every inter-item r is positive, +0.12..+0.63; the RSES mean correlates -0.46 with the study's GDS-15 total), which destroys the keying-polarity route entirely. Only weak corroboration was available (see verification_group4.csv). Because the data are already reversed, the shipped anchors are direction-flipped for the five negatively worded items (2,5,6,8,9): resp 3 = 'Strongly disagree' there and resp 3 = 'Strongly agree' for items 1,3,4,7,10."
"buzgova_2023_soc","Same source .sav, same absence of any labels; item text is the canonical SOC-13 (Antonovsky Orientation to Life Questionnaire items 4,5,6,8,9,12,16,19,21,25,26,28,29 of the SOC-29 form). Mapping to soc1..soc13 verified from the data (see verification_group4.csv). Data are stored already reverse-scored, so the printed anchors of the five reverse items (1,2,3,7,10) are FLIPPED in the shipped option_text. Middle scale points 2-6 are unlabelled on the instrument and left blank, not padded. Separately: the paper reports Cronbach's alpha = 0.92 for SOC-13 in this sample; the released data give alpha = 0.765 (listwise, n=1125) with corrected item-total correlations 0.29-0.53 -- a paper-vs-data discrepancy that is not an itemtext issue but is worth a human eye."
"cacciatore_2021_crisis_care_satisfaction","Clean data_labels case: the S1 Data .xlsx's row 0 is the Qualtrics question-text header, giving each Q24_n column its verbatim stem+category label, and the IRW item codes ARE those column names (melted by name, non-positional). The shared matrix stem was put in instructions (identical for all 9 items, single section) and the matrix row label in item_text, rather than repeating the stem nine times. Option coding verified cell-for-cell against the raw label counts (route 9). Note the survey's own Qualtrics choice numbering runs the other way (1 = Extremely satisfied ... 6 = N/A per the S1 Questionnaire); IRW resp is the processing script's ascending-satisfaction recoding, and 'N/A' responses were dropped rather than coded. | AUDIT WARN EXPLAINED (orchestrator): the row-count spread across Q24_1..Q24_9 (52 to 302, median 163) is APPLICABILITY-DRIVEN MISSINGNESS, not item-code conflation. The item is a matrix rating satisfaction with different care providers, and respondents only rated providers they actually encountered. Every item still spans the full 1-5 resp range."
"buzgova_2023_gai","Source .sav (PLOS 10.1371/journal.pone.0283772.s001) carries NO variable labels and NO value labels for any column, so the strongest source level was unavailable; verified by dumping column_names_to_labels, value_labels and variable_to_label (all empty). data/buzgova_2023_elder_battery.py takes item codes verbatim from the source column names gai1-gai20 (SCALES dict), so the code derivation is 'code IS the source column name' -- not positional, nothing to diff. The PLOS paper names the GAI (Pachana et al. 2007) but reproduces no items. Item text is the canonical English GAI wording from Pachana et al. 2007 Table 2 (item-total correlations table, which lists all 20 final items); that table's order was confirmed to be the final 1-20 numbering independently by Table 2 of the Iranian GAI-P validation (PMC6624870), which prints item numbers 1-20 against the same English texts -- both agree item by item. Only deviation from literal transcription: the typographic apostrophe in item 9 was rendered as an ASCII apostrophe (""can't""). Response coding: the source stores 0/1 with no value labels; all 20 corrected item-rest correlations are positive (+0.39 to +0.70) and item means are low (0.11-0.34) in a healthy community sample, which is only consistent with 1 = Agree (the anxious response) and 0 = Disagree, matching the GAI's 0-20 total where higher = more anxiety. Reverse-coding checked as a property of THIS table, not assumed from the instrument: the GAI keys all 20 items in the anxious direction and every item-rest correlation here is positive, so nothing is stored reverse-scored. Instructions left blank: neither the PLOS paper nor Pachana et al. 2007 reproduces the administration instructions, and inventing them was rejected. Every item uses both 0 and 1 in the live data (checked per item), so both option rows are needed for all 20. Row counts are uniform (970-977 per item)."
"buzgova_2023_gds","GDS-15 (15 items, resp 0/1) from PLOS ONE 10.1371/journal.pone.0283772 S1 Data (.sav). The .sav carries NO variable labels and NO value labels for any column (checked both levels), and the paper reproduces no item wording, so item text is the canonical English GDS-15 (Sheikh & Yesavage; Stanford web.stanford.edu/~yesavage/GDS.english.short.score.html) transcribed verbatim, including its instruction line. The study was Czech and administered a Czech translation; no Czech wording is recoverable from the paper or the data file, so English canonical wording is shipped and flagged in a public_note (same handling as APFCompact_Ptacek_2024_DASS-21). KEY POINT -- the live data are stored ALREADY SCORED, not raw yes/no: 1 = the depressive answer for every item, so for the five positively-worded items (gds1, gds5, gds7, gds11, gds13) resp 1 = 'No' and resp 0 = 'Yes', while for the other ten resp 1 = 'Yes'. Evidence: all 15 corrected item-total correlations are positive (+0.25 to +0.63), which is impossible if the reverse-keyed items were stored raw; and the mean total is 3.44/15 with 72.9% in the paper's 0-4 'normal' band, whereas the opposite direction would put the average respondent at 11.6 = severe depression. Option text is therefore item-specific rather than a single shared pair."
"buzgova_2023_lsita","Live table is the LSITA-SF12 (12-item short form of the 35-item LSITA), matching the source paper (PLOS ONE 10.1371/journal.pone.0283772) which states it used LSITA-SF12 with a 6-point Likert scale. The study .sav (S1 File) carries NO variable labels and NO value labels for any column, so level-1 sourcing was unavailable; item text is the canonical English LSITA-SF12 wording. Study was administered in Czech; the Czech wording is not published in the paper, the .sav, or any accessible source (the companion validation paper, Int J Older People Nurs 10.1111/opn.12541, is paywalled). REVERSE-CODING: the paper states items 2, 4, 5 and 6 are reverse scored. These are stored ALREADY REVERSED in this table -- the raw column sum reproduces the paper's reported total exactly (mean 36.30 vs 36.34, SD 8.68 vs 8.66, range 12-62 vs 12-62) and all 66 inter-item correlations are positive. Option labels for items 2/4/5/6 are therefore flipped relative to the other eight items (resp 1 = Strongly Disagree ... 6 = Strongly Agree), so that option_text describes the response the participant actually gave. The paper's own scale listing contains a typo, printing '(4)' for both 'Somewhat Disagree' and 'Somewhat Agree'; the ordered list implies Somewhat Agree = 3, which is what was shipped."
