"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"baka2023_uwes","baka2023_uwes_1","UWES_13","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Praca jest dla mnie wyzwaniem.","NA","Never","0","","","To me, my job is challenging.",""
"baka2023_uwes","baka2023_uwes_1","UWES_9","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Czuję się szczęśliwy(a), kiedy intensywnie pracuję.","NA","Never","0","","","I feel happy when I am working intensely.",""
"baka2023_uwes","baka2023_uwes_1","UWES_17","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Pracuję wytrwale, nawet jeśli sprawy nie idą dobrze.","NA","Never","0","","","At my work I always persevere, even when things do not go well.",""
"baka2023_uwes","baka2023_uwes_1","UWES_11","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Jestem pochłonięty(a) swoją pracą.","NA","Never","0","","","I am immersed in my work.",""
"baka2023_uwes","baka2023_uwes_1","UWES_6","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Kiedy pracuję, zapominam o wszystkim dookoła mnie.","NA","Never","0","","","When I am working, I forget everything else around me.",""
"baka2023_uwes","baka2023_uwes_1","UWES_8","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Kiedy rano wstaję, mam ochotę iść do pracy.","NA","Never","0","","","When I get up in the morning, I feel like going to work.",""
"baka2023_uwes","baka2023_uwes_1","UWES_10","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Jestem dumny(a) z pracy, która wykonuję.","NA","Never","0","","","I am proud of the work that I do.",""
"baka2023_uwes","baka2023_uwes_1","UWES_3","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Czas szybko płynie, kiedy pracuję.","NA","Never","0","","","Time flies when I am working.",""
"baka2023_uwes","baka2023_uwes_1","UWES_15","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","W pracy jestem odporny(a) psychicznie.","NA","Never","0","","","At my job, I am very resilient, mentally.",""
"baka2023_uwes","baka2023_uwes_1","UWES_1","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","W pracy czuję, że rozpiera mnie energia.","NA","Never","0","","","At my work, I feel bursting with energy.",""
"baka2023_uwes","baka2023_uwes_1","UWES_4","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","W pracy czuję się silny(a) i pełen(na) energii.","NA","Never","0","","","At my job, I feel strong and vigorous.",""
"baka2023_uwes","baka2023_uwes_1","UWES_2","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Praca, którą wykonuje jest dla mnie pełna sensu i celowości.","NA","Never","0","","","I find the work that I do full of meaning and purpose.",""
"baka2023_uwes","baka2023_uwes_1","UWES_12","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Mogę kontynuować pracę przez bardzo długie odcinki czasu.","NA","Never","0","","","I can continue working for very long periods at a time.",""
"baka2023_uwes","baka2023_uwes_1","UWES_16","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Trudno mi oderwać się od mojej pracy.","NA","Never","0","","","It is difficult to detach myself from my job.",""
"baka2023_uwes","baka2023_uwes_1","UWES_14","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Zapominam się, kiedy pracuję.","NA","Never","0","","","I get carried away when I am working.",""
"baka2023_uwes","baka2023_uwes_1","UWES_7","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Moja praca jest dla mnie natchnieniem.","NA","Never","0","","","My job inspires me.",""
"baka2023_uwes","baka2023_uwes_1","UWES_5","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Jestem oddany(a) swojej pracy.","NA","Never","0","","","I am enthusiastic about my job.",""
"baka2023_uwes","baka2023_uwes_1","UWES_14","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Zapominam się, kiedy pracuję.","NA","Almost never","1","","","I get carried away when I am working.",""
"baka2023_uwes","baka2023_uwes_1","UWES_15","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","W pracy jestem odporny(a) psychicznie.","NA","Almost never","1","","","At my job, I am very resilient, mentally.",""
"baka2023_uwes","baka2023_uwes_1","UWES_6","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Kiedy pracuję, zapominam o wszystkim dookoła mnie.","NA","Almost never","1","","","When I am working, I forget everything else around me.",""
"baka2023_uwes","baka2023_uwes_1","UWES_9","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Czuję się szczęśliwy(a), kiedy intensywnie pracuję.","NA","Almost never","1","","","I feel happy when I am working intensely.",""
"baka2023_uwes","baka2023_uwes_1","UWES_2","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Praca, którą wykonuje jest dla mnie pełna sensu i celowości.","NA","Almost never","1","","","I find the work that I do full of meaning and purpose.",""
"baka2023_uwes","baka2023_uwes_1","UWES_12","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Mogę kontynuować pracę przez bardzo długie odcinki czasu.","NA","Almost never","1","","","I can continue working for very long periods at a time.",""
"baka2023_uwes","baka2023_uwes_1","UWES_17","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Pracuję wytrwale, nawet jeśli sprawy nie idą dobrze.","NA","Almost never","1","","","At my work I always persevere, even when things do not go well.",""
"baka2023_uwes","baka2023_uwes_1","UWES_16","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Trudno mi oderwać się od mojej pracy.","NA","Almost never","1","","","It is difficult to detach myself from my job.",""
"baka2023_uwes","baka2023_uwes_1","UWES_7","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Moja praca jest dla mnie natchnieniem.","NA","Almost never","1","","","My job inspires me.",""
"baka2023_uwes","baka2023_uwes_1","UWES_1","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","W pracy czuję, że rozpiera mnie energia.","NA","Almost never","1","","","At my work, I feel bursting with energy.",""
"baka2023_uwes","baka2023_uwes_1","UWES_10","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Jestem dumny(a) z pracy, która wykonuję.","NA","Almost never","1","","","I am proud of the work that I do.",""
"baka2023_uwes","baka2023_uwes_1","UWES_3","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Czas szybko płynie, kiedy pracuję.","NA","Almost never","1","","","Time flies when I am working.",""
"baka2023_uwes","baka2023_uwes_1","UWES_13","Utrecht Work Engagement Scale (UWES-17), Polish version","Polish","NA","NA","Praca jest dla mnie wyzwaniem.","NA","Almost never","1","","","To me, my job is challenging.",""
