"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","NEVERSAC","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"fied. Patient safety is never sacrificed",NA,"strongly disagree",1
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","NEVERSAC","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"fied. Patient safety is never sacrificed",NA,"disagree",2
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","NEVERSAC","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"fied. Patient safety is never sacrificed",NA,"neutral",3
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","NEVERSAC","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"fied. Patient safety is never sacrificed",NA,"agree",4
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","NEVERSAC","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"fied. Patient safety is never sacrificed",NA,"strongly agree",5
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","PROCEDUR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,". procedures and systems are good",NA,"strongly disagree",1
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","PROCEDUR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,". procedures and systems are good",NA,"disagree",2
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","PROCEDUR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,". procedures and systems are good",NA,"neutral",3
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","PROCEDUR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,". procedures and systems are good",NA,"agree",4
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","PROCEDUR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,". procedures and systems are good",NA,"strongly agree",5
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKES","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"serious mistakes don't happen",NA,"strongly disagree",1
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKES","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"serious mistakes don't happen",NA,"disagree",2
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKES","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"serious mistakes don't happen",NA,"neutral",3
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKES","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"serious mistakes don't happen",NA,"agree",4
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKES","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"serious mistakes don't happen",NA,"strongly agree",5
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","SAFETYPR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"lem. never have patient safety problems",NA,"strongly disagree",1
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","SAFETYPR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"lem. never have patient safety problems",NA,"disagree",2
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","SAFETYPR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"lem. never have patient safety problems",NA,"neutral",3
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","SAFETYPR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"lem. never have patient safety problems",NA,"agree",4
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","SAFETYPR","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"lem. never have patient safety problems",NA,"strongly agree",5
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKEI","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"ade. mistake is made ut is caught and corrected before affecting",NA,"never",1
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKEI","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"ade. mistake is made ut is caught and corrected before affecting",NA,"rarely",2
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKEI","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"ade. mistake is made ut is caught and corrected before affecting",NA,"sometimes",3
"mohammed_2021_patient_safety_culture","mohammed_2021_patient_safety_culture_1","MISTAKEI","Hospital Survey on Patient Safety Culture (HSOPSC)",NA,NA,"ade. mistake is made ut is caught and corrected before affecting",NA,"most of the time",4
