"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_1","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","I feel a stronger connection to my international disciplinary colleagues than to my local colleagues.",NA,"Strongly Disagree",1
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_1","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","I feel a stronger connection to my international disciplinary colleagues than to my local colleagues.",NA,"Disagree",2
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_1","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","I feel a stronger connection to my international disciplinary colleagues than to my local colleagues.",NA,"Neutral",3
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_1","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","I feel a stronger connection to my international disciplinary colleagues than to my local colleagues.",NA,"Agree",4
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_1","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","I feel a stronger connection to my international disciplinary colleagues than to my local colleagues.",NA,"Strongly Agree",5
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_2","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","My identity as a [discipline] is more important than my identity as a faculty member at my university.",NA,"Strongly Disagree",1
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_2","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","My identity as a [discipline] is more important than my identity as a faculty member at my university.",NA,"Disagree",2
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_2","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","My identity as a [discipline] is more important than my identity as a faculty member at my university.",NA,"Neutral",3
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_2","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","My identity as a [discipline] is more important than my identity as a faculty member at my university.",NA,"Agree",4
"mekheimer_2026_cai","mekheimer_2026_cai_1","CAI_2","Cultural-Academic Identity (CAI) Scale","The following statements relate to your sense of identity as a researcher. Please read each statement and indicate how much it sounds like you by selecting one option per row.","Part A: Global Identity Alignment (9 items)","My identity as a [discipline] is more important than my identity as a faculty member at my university.",NA,"Strongly Agree",5
