"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_1","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"自行阅读科普文章、专业论文等","Academic literature.",NA,"从不","Never",1
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_1","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"自行阅读科普文章、专业论文等","Academic literature.",NA,"很少","Occasionally",2
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_1","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"自行阅读科普文章、专业论文等","Academic literature.",NA,"偶尔","Sometimes",3
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_1","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"自行阅读科普文章、专业论文等","Academic literature.",NA,"经常","Frequently",4
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_1","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"自行阅读科普文章、专业论文等","Academic literature.",NA,"总是","Always",5
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_2","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"参与线下专家授课、同行讨论等","Onsite lectures and peer discussions.",NA,"从不","Never",1
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_2","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"参与线下专家授课、同行讨论等","Onsite lectures and peer discussions.",NA,"很少","Occasionally",2
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_2","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"参与线下专家授课、同行讨论等","Onsite lectures and peer discussions.",NA,"偶尔","Sometimes",3
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_2","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"参与线下专家授课、同行讨论等","Onsite lectures and peer discussions.",NA,"经常","Frequently",4
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_2","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"参与线下专家授课、同行讨论等","Onsite lectures and peer discussions.",NA,"总是","Always",5
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_3","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"报名线上相关讲座、学术会议等","Online academic conferences.",NA,"从不","Never",1
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_3","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"报名线上相关讲座、学术会议等","Online academic conferences.",NA,"很少","Occasionally",2
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_3","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"报名线上相关讲座、学术会议等","Online academic conferences.",NA,"偶尔","Sometimes",3
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_3","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"报名线上相关讲座、学术会议等","Online academic conferences.",NA,"经常","Frequently",4
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_3","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"报名线上相关讲座、学术会议等","Online academic conferences.",NA,"总是","Always",5
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_4","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"主持或参与高血压相关研究","Participation of hypertension research.",NA,"从不","Never",1
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_4","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"主持或参与高血压相关研究","Participation of hypertension research.",NA,"很少","Occasionally",2
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_4","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"主持或参与高血压相关研究","Participation of hypertension research.",NA,"偶尔","Sometimes",3
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_4","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"主持或参与高血压相关研究","Participation of hypertension research.",NA,"经常","Frequently",4
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_4","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"主持或参与高血压相关研究","Participation of hypertension research.",NA,"总是","Always",5
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_5","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"举办或参加患教会、病友交流会等","Implementation of patient education.",NA,"从不","Never",1
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_5","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"举办或参加患教会、病友交流会等","Implementation of patient education.",NA,"很少","Occasionally",2
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_5","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"举办或参加患教会、病友交流会等","Implementation of patient education.",NA,"偶尔","Sometimes",3
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_5","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"举办或参加患教会、病友交流会等","Implementation of patient education.",NA,"经常","Frequently",4
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_5","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"举办或参加患教会、病友交流会等","Implementation of patient education.",NA,"总是","Always",5
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_6","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"申请行高血压专科进修","Refresher training.",NA,"从不","Never",1
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_6","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"申请行高血压专科进修","Refresher training.",NA,"很少","Occasionally",2
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_6","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"申请行高血压专科进修","Refresher training.",NA,"偶尔","Sometimes",3
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_6","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"申请行高血压专科进修","Refresher training.",NA,"经常","Frequently",4
"liu_2023_training_freq","liu_2023_training_freq_1","liu_2023_training_freq_6","Liu et al. (2023) hypertension medication adherence questionnaire - training received (question 12)","Chinese","关于如何管理高血压患者，您受过哪些相关培训？（除外《内科学》等专业课程）","What training have you received?(Excluding specialized courses such as Internal Medicine)",NA,NA,"申请行高血压专科进修","Refresher training.",NA,"总是","Always",5
