"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"sun_2025_morality_study2_colleagueclose","main","itclose_3","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_5","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_1","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_4","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_2","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_6","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_7","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","2","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_7","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_4","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_2","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_1","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_5","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_6","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_3","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","3","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_4","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_6","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_7","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_2","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_5","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_1","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_3","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","5","","","How close are you to this colleague?",""
"sun_2025_morality_study2_colleagueclose","main","itclose_1","Closeness with colleagues in Chinese engineering teams.","Chinese","NA","NA","您和这个同事有多亲近？","","NA","6","","","How close are you to this colleague?",""
