"table","section_id","item","instrument","instructions","section_prompt","item_text","correct_response","option_text","resp"
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas1","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I can’t seem to keep gut symptoms out of my mind.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas1","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I can’t seem to keep gut symptoms out of my mind.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas1","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I can’t seem to keep gut symptoms out of my mind.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas1","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I can’t seem to keep gut symptoms out of my mind.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas1","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I can’t seem to keep gut symptoms out of my mind.",NA,"Strongly Agree",5
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas2","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I have a difficult time enjoying myself because I cannot get my mind off the discomfort in my gut.",NA,"Strongly Disagree",1
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas2","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I have a difficult time enjoying myself because I cannot get my mind off the discomfort in my gut.",NA,"Somewhat Disagree",2
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas2","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I have a difficult time enjoying myself because I cannot get my mind off the discomfort in my gut.",NA,"Neither Agree nor Disagree",3
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas2","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I have a difficult time enjoying myself because I cannot get my mind off the discomfort in my gut.",NA,"Somewhat Agree",4
"anxiety_gastro_symptoms","anxiety_gastro_symptoms_1","aehas2","Gastrointestinal Hypervigilance and Anxiety Scale (GIHAS) -- the Esophageal Hypervigilance and Anxiety Scale (EHAS; Taft et al., 2018) modified to refer to the gut, validated by Forney, Burton Murray, Brown, Guadagnoli, Pucci & Taft (Psychol Assess 2024;36:41-52, doi:10.1037/pas0001280). Item wording and response anchors taken from the SPSS variable and value labels of the study's own EHAS_CFA.sav at osf.io/gh624. Items aehas1-aehas9 form the anxiety subscale and aehas10-aehas15 the hypervigilance subscale (per the deposited CFA code).",NA,NA,"I have a difficult time enjoying myself because I cannot get my mind off the discomfort in my gut.",NA,"Strongly Agree",5
