"table","section_id","item","instrument","language","instructions","section_prompt","item_text","correct_response","option_text","resp","instructions_translated","section_prompt_translated","item_text_translated","option_text_translated"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_1_r","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…bin eher zurückhaltend, reserviert.","","trifft überhaupt nicht zu","1","To what extent do the following statements apply to you?","","…am reserved.","does not apply at all"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_1_r","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…bin eher zurückhaltend, reserviert.","","trifft eher nicht zu","2","To what extent do the following statements apply to you?","","…am reserved.","rather does not apply"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_1_r","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…bin eher zurückhaltend, reserviert.","","eher zutreffend","4","To what extent do the following statements apply to you?","","…am reserved.","rather applies"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_1_r","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…bin eher zurückhaltend, reserviert.","","weder noch","3","To what extent do the following statements apply to you?","","…am reserved.","neither one nor the other"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_2","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…gehe aus mir heraus, bin gesellig.","","weder noch","3","To what extent do the following statements apply to you?","","…am outgoing, sociable.","neither one nor the other"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_2","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…gehe aus mir heraus, bin gesellig.","","trifft voll und ganz zu","5","To what extent do the following statements apply to you?","","…am outgoing, sociable.","applies completely"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_2","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…gehe aus mir heraus, bin gesellig.","","trifft überhaupt nicht zu","1","To what extent do the following statements apply to you?","","…am outgoing, sociable.","does not apply at all"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_2","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…gehe aus mir heraus, bin gesellig.","","eher zutreffend","4","To what extent do the following statements apply to you?","","…am outgoing, sociable.","rather applies"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_2","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…gehe aus mir heraus, bin gesellig.","","trifft eher nicht zu","2","To what extent do the following statements apply to you?","","…am outgoing, sociable.","rather does not apply"
"heekerens2025_bfi_extraversion","main","EXTRAVERSION_1_r","Measures the degree to which adults are sociable, assertive, and energetic, using the 2-item Extraversion subscale from the German BFI-10","German","Inwieweit treffen die folgenden Aussagen auf Sie zu?","Ich…","…bin eher zurückhaltend, reserviert.","","trifft voll und ganz zu","5","To what extent do the following statements apply to you?","","…am reserved.","applies completely"
