"table","section_id","item","instrument","language","instructions","instructions_translated","section_prompt","section_prompt_translated","item_text","item_text_translated","correct_response","option_text","option_text_translated","resp"
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_1","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Ruzie beginnen te maken","Starting an argument",NA,"(Bijna) nooit","(Almost) never",1
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_1","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Ruzie beginnen te maken","Starting an argument",NA,"Zelden","Rarely",2
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_1","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Ruzie beginnen te maken","Starting an argument",NA,"Soms","Sometimes",3
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_1","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Ruzie beginnen te maken","Starting an argument",NA,"Vaak","Often",4
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_1","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Ruzie beginnen te maken","Starting an argument",NA,"(Bijna) altijd","(Almost) always",5
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_2","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Iemand lichamelijk bedreigen","Physically threatening someone",NA,"(Bijna) nooit","(Almost) never",1
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_2","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Iemand lichamelijk bedreigen","Physically threatening someone",NA,"Zelden","Rarely",2
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_2","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Iemand lichamelijk bedreigen","Physically threatening someone",NA,"Soms","Sometimes",3
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_2","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Iemand lichamelijk bedreigen","Physically threatening someone",NA,"Vaak","Often",4
"vanteffelen_2020_foa","vanteffelen_2020_foa_1","AGG_2","Forms of Aggression questionnaire (FOA), Dutch translation","Dutch",NA,NA,NA,NA,"Iemand lichamelijk bedreigen","Physically threatening someone",NA,"(Bijna) altijd","(Almost) always",5
